Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Acetaldehyde,0.17,,0.17,,,0.17
Arsenic & compounds,5.3,,5.3,,,5.3
Benzene,230000.0,,230000.0,,,230000.0
Beryllium & compounds,0.32,,0.32,,,0.32
"1,3-Butadiene (vinyl ethylene)",21.0,,21.0,,,21.0
Cadmium & compounds,29.0,,29.0,,0.2,29.2
Carbon monoxide,4900000.0,,4900000.0,,,4900000.0
Chromium (VI) compounds,1.8,,1.8,,,1.8
Copper & compounds,2.2,,2.2,,0.35,2.55
Cyclohexane,76000.0,,76000.0,,,76000.0
Ethylbenzene,22000.0,,22000.0,,,22000.0
Fluoride compounds,38.0,,38.0,,,38.0
Formaldehyde (methyl aldehyde),2.3,,2.3,,,2.3
n-Hexane,110000.0,,110000.0,,,110000.0
Hydrogen sulfide,13000.0,,13000.0,,,13000.0
Lead & compounds,7.1,,7.1,,0.25,7.35
Mercury & compounds,0.1,,0.1,,,0.1
Nickel & compounds,55.0,,55.0,,,55.0
Oxides of Nitrogen,9800000.0,,9800000.0,,,9800000.0
Particulate Matter 10.0 um,190000.0,,190000.0,,,190000.0
Particulate Matter 2.5 um,4300.0,,4300.0,,,4300.0
Sulfur dioxide,49000.0,,49000.0,,,49000.0
Toluene (methylbenzene),390000.0,,390000.0,,,390000.0
Total Nitrogen,,,,,610.0,610.0
Total Phosphorus,,,,,63.0,63.0
Total Volatile Organic Compounds,1.1E7,,1.1E7,,,1.1E7
Xylenes (individual or mixed isomers),180000.0,,180000.0,,,180000.0
Zinc and compounds,,,,,3.9,3.9
